timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1711885458.600768,5,10.0.0.1010.0.0.1301,10.0.0.1,0,10.0.0.13,0,1,0,8,7,646000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1711885458.600768,5,10.0.0.1010.0.0.1401,10.0.0.1,0,10.0.0.14,0,1,0,8,7,521000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1711885458.600768,5,10.0.0.1010.0.0.1501,10.0.0.1,0,10.0.0.15,0,1,0,8,7,398000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1711885458.600768,5,10.0.0.1010.0.0.1601,10.0.0.1,0,10.0.0.16,0,1,0,8,7,264000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1711885458.600768,5,10.0.0.1010.0.0.1701,10.0.0.1,0,10.0.0.17,0,1,0,8,7,107000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1711885458.600768,5,10.0.0.1010.0.0.1801,10.0.0.1,0,10.0.0.18,0,1,0,8,6,958000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1711885458.600768,5,10.0.0.13010.0.0.101,10.0.0.13,0,10.0.0.1,0,1,0,0,7,641000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1711885458.600768,5,10.0.0.13010.0.0.201,10.0.0.13,0,10.0.0.2,0,1,0,0,5,241000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1711885458.600768,5,10.0.0.13010.0.0.301,10.0.0.13,0,10.0.0.3,0,1,0,0,2,894000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1711885458.600768,5,10.0.0.13010.0.0.401,10.0.0.13,0,10.0.0.4,0,1,0,0,0,637000000,20,100,0,0,0,0,0,0,0,0
1711885458.600768,5,10.0.0.14010.0.0.101,10.0.0.14,0,10.0.0.1,0,1,0,0,7,515000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
